paper,type,subsection,main_content,context,outcome
mechanical,Q2.3,HMGB2 upregulation requires nesprin 2,"suggesting that the nuclear lamina was remodelled in response to confinement which we validated by means of atomic force microscopy (AFM)
showing increased nuclear stiffness in confined cells (Extended Data
Fig. 10f,g).",,"Together, our results demonstrate that confined melanoma
cells remodel cytoskeletal and nuclear structures to reinforce the cell
against mechanical force, resulting in LINC complex-mediated HMGB2
upregulation and nuclear stiffening."
mechanical,Q2.2,Force affects HMGB2–chromatin dynamics,"Our results indicate that the LINC complex and tubulin cytoskel-
eton cooperate to stabilize the nucleus against mechanical stress
and upregulate HMGB2. ","HMGB2 typically binds chromatin without
sequence specificity and bends DNA to relieve mechanical strain37.","Confinement-induced nuclear shape changes could thus increase
the strain on chromatin and create a densely packed nuclear envi-
ronment that affects HMGB2 dynamics. "
mechanical,Q1.2,Force affects HMGB2–chromatin dynamics,"Confinement-induced nuclear shape changes could thus increase
the strain on chromatin and create a densely packed nuclear envi-
ronment that affects HMGB2 dynamics. ",,"We used fluorescence recov-
ery after photobleaching (FRAP) to characterize nuclear HMGB2
dynamics upon confinement. "
mechanical,Q2.4,HMGB2 targets plasticity-associated loci,"Our FRAP analysis indicates that confinement upregulates HMGB2 and
stabilizes its interactions with chromatin; . ",,"therefore, we propose that this
could affect chromatin accessibility"
mechanical,Q1.2,HMGB2 targets plasticity-associated loci,"confinement upregulates HMGB2 and
stabilizes its interactions with chromatin; ... therefore, we propose that this
could affect chromatin accessibility",,"Assay for transposase-accessible
chromatin (ATAC) sequencing (ATAC-seq) of A375 cells overexpressing
HMGB2"
mechanical,Q2.4,HMGB2 targets plasticity-associated loci,"Homer de novo motif analysis
identified conserved transcription factor binding motifs enriched within the promoter of open chromatin regions upon HMGB2 overex-
pression (HMGB2OE). The top-ranked motif was an AP-1 motif (Fig. 4k;
P = 1 × 10−49) ...
Other highly ranked motifs included PRDM4, ... (Fig. 4k; P = 1 × 10−12), and SOX9, ... (Fig. 4k; P = 1 × 10−11).","...implicated in melanoma and melanocyte plasticity40,41... which functions in neural
development42 ... a critical regulator of
the pro-invasive phenotype switch in melanoma43","These data indicate that HMGB2 upregulation increases chromatin
accessibility at loci associated with plasticity and a neuronal pheno-
type, promoting a confinement-induced dedifferentiation program."
mechanical,Q1.1,HMGB2 targets plasticity-associated loci,To clarify potential HMGB2 targets,a double-crosslinking approach44,"we performed chromatin immu-
noprecipitation (ChIP) sequencing (ChIP–seq) targeting HMGB2 in
A375 cells using a double-crosslinking approach44 (Extended Data
Fig. 11a). We generated a peak atlas by comparing peaks present in cells
expressing baseline concentrations of HMGB2 to those not present in
HMGB2KO cells"
mechanical,Q2.4,HMGB2 targets plasticity-associated loci,"After manual filtering to remove intergenic,
low-quality or non-specific peaks, we identified a final high-confidence
set of 96 targets (Extended Data Fig. 11b and Supplementary Table 6).
We observed HMGB2 binding at promoter regions of several AP-1 sig-
nalling genes, including FOSL1, JUNB and JUND (Extended Data Fig. 11c
and Supplementary Table 6),",,"validating our ATAC-seq results and sup-
porting the pro-invasive role of HMGB2."
mechanical,Q2.3,HMGB2 targets plasticity-associated loci,"HMGB2OE cells adopted a mesenchymal-like and invasive morphology
relative to empty vector controls (Extended Data Fig. 11g). The most
highly upregulated gene was UNC5D ... (Extended Data Fig. 11h and Supplemen-
tary Table 7). Other upregulated neuronal genes included DCC, SH3GL2
and NPX2 (Extended Data Fig. 11h,i and Supplementary Table 7). GSEA
revealed an overrepresentation of neuronal genes within enriched
pathways (Extended Data Fig. 11j,k and Supplementary Table 7).","UNC5D, a netrin receptor promoting neu-
ronal survival and migration47",N/A
mechanical,Q2.4,HMGB2 targets plasticity-associated loci,"several invasive genes were also
upregulated (MAGEA1, SPP1, CTAG2 and GDF6; Extended Data Fig. 11i
and Supplementary Table 7).",,Supporting a pro-invasive role for HMGB2
mechanical,Q2.2,HMGB2 targets plasticity-associated loci,Supporting a pro-invasive role for HMGB2,,"These data indicate that HMGB2 alters
chromatin architecture to promote an invasive neuronal state."
mechanical,Q1.2,HMGB2 drives invasion through Notch and BRN2,"Phenotypic plasticity in melanoma is controlled by a regulatory axis of melanocytic transcription factors (MITF) driving proliferation versus invasive factors (BRN2, SOX9 and AP-1) that also slow proliferation. We investigated whether HMGB2 drives invasion through these fac-
tors.",,"Using the SKMEL5 melanocytic cell line, we created a stable line
expressing V5-tagged HMGB2 and performed ChIP–seq targeting V5
and HMGB2 (Extended Data Fig. 12a). "
mechanical,Q2.4,HMGB2 drives invasion through Notch and BRN2,"However, loss of HMGB2 did not meaningfully alter MITF expression (log2FC = 0.157;
Extended Data Fig. 12e–g and Supplementary Table 9), ",,"indicating that
HMGB2 may regulate pro-invasive factors instead. "
mechanical,Q2.4,HMGB2 drives invasion through Notch and BRN2,"HMGB2 robustly
bound the promoter of Notch signalling genes in both A375 (Extended
Data Fig. 11d and Supplementary Table 6) and SKMEL5 (Extended Data
Fig. 12d and Supplementary Table 8) cells. Notch family genes were also
upregulated by human interface cells (DLL1, DLL3 and DLK2; Supple-
mentary Table 1) and confined human melanoma cells (NOTCH2NLA,
DLK2 and DLL4; Supplementary Table 2). ","Notch signalling promotes
melanoma invasion through brain-2 (BRN2, also known as POU3F2)
(ref. 48), a well-characterized pro-invasive transcription factor in mela-
noma49 that also functions in neuronal development50. ","This indicates that invasive and neuronal phenotypes in confined interface cells are
induced by HMGB2-mediated upregulation of Notch/BRN2 signal-
ling. "
mechanical,Q1.1,HMGB2 mediates phenotype switching,"Confined A375 cells downregulated many proliferation-related pathways. To visualize the influence of confinement on this trade-off,",FastFUCCI cell cycle sensor54,"we generated
an A375 cell line stably expressing the FastFUCCI cell cycle sensor54."
mechanical,Q2.3,HMGB2 mediates phenotype switching,"Upon confinement, all initially mitotic cells (mAG+ and S/G2–M phase)
rapidly lost mAG fluorescence",,"indicating cell cycle exit (Fig. 5c,d)."
mechanical,Q1.1,HMGB2 mediates phenotype switching,To directly test the role of HMGB2 in melanoma invasion,,"we used
in vitro invasion assays (Fig. 5e) "
mechanical,Q2.4,HMGB2 mediates phenotype switching,"and found that targeting HMGB2 with
siRNA significantly impaired invasion (P = 0.0133; Fig. 5f,g), whereas
overexpression of HMGB2 increased invasion (P = 0.0180; Fig. 5h,i).","Previous studies identified a fast amoeboid mode of migration induced
by confinement and low adhesion13,55–57. ","We quantified minimal migra-
tion of confined A375 cells"
mechanical,Q2.3,HMGB2 mediates phenotype switching,"We quantified minimal migra-
tion of confined A375 cells (mean velocity = 0.0838 ± 0.0025 µm min−1;
Extended Data Fig. 13a–c)",,"which indicates that fast amoeboid migra-
tion is not a major contributor to confinement-induced phenotypic
plasticity in our system."
mechanical,Q2.3,HMGB2 mediates phenotype switching,"To test the role of HMGB2 in phenotype
switching in vivo",,"we generated BRAFV600E melanomas in zebrafish, in
which zebrafish hmgb2a and hmgb2b were inactivated by CRISPR. "
mechanical,Q2.3,HMGB2 mediates phenotype switching,"Loss
of hmgb2 and hmgb2b markedly increased melanoma growth, with
tumours growing almost 2-fold larger by 10 weeks (P = 0.0193; Fig. 5j–l)
while also appearing less invasive than non-targeting controls (Fig. 5m).",,"These data indicate that HMGB2 is required for the invasive state, and
that its loss pushes melanoma cells towards a hyperproliferative state."
mechanical,Q2.4,HMGB2 mediates phenotype switching,"HMGB family proteins contain three functional domains: A-box and
B-box DNA-binding domains and an acidic tail region58 (Extended Data
Fig. 14a).",an acidic tail region58,"We investigated the functional domains that control HMGB2
localization and activity in melanoma."
mechanical,Q2.3,HMGB2 mediates phenotype switching,"when we transplanted cells expressing
each deletion construct into mice (Extended Data Fig. 14g), as expected,
there was no significant difference in tumour growth rates (Extended
Data Fig. 14h,i) or acetylated tubulin at the invasive front (Extended
Data Fig. 14j), ",,"demonstrating that either HMGB2 DNA-binding domain
is sufficient to maintain protein function."
mechanical,Q1.2,HMGB2 is associated with drug tolerance,"We examined how the confined invasive state affects
therapeutic response, hypothesizing that the HMGB2-high neuronal
state induced by confinement may promote drug tolerance",,"To test
this, we treated confined cells with Taxol to stabilize MTs."
mechanical,Q2.4,HMGB2 is associated with drug tolerance,"Unconfined
cells rapidly displayed fragmented nuclear morphology and underwent
apoptosis, whereas confined cells were almost completely resistant
to Taxol-induced cell death (Extended Data Fig. 13d).","Taxol induces
cancer cell death through cell cycle arrest60","indicating that confine-
ment may cause melanoma cells to exit the cell cycle"
mechanical,Q2.2,HMGB2 is associated with drug tolerance,"indicating that confine-
ment may cause melanoma cells to exit the cell cycle","in accordance
with a pro-invasive phenotype switch associated with downregulation
of proliferation8.",N/A
mechanical,Q1.1,HMGB2 is associated with drug tolerance,We then tested the role of HMGB2 in drug tolerance in vivo,"dabrafenib and
trametinib, widely used targeted therapies in melanoma61 (Fig. 5n).","by
transplanting human melanoma cells overexpressing HMGB2 into
athymic mice and treating the resulting tumours with dabrafenib and
trametinib"
mechanical,Q2.4,HMGB2 is associated with drug tolerance,"HMGB2 overexpression significantly impaired melanoma response to
dabrafenib/trametinib in vivo (P = 0.043; Fig. 5o, Extended Data Fig. 13e
and Supplementary Table 10). ",,"Together, our results support a role for
confinement-mediated upregulation of HMGB2 inducing a pro-invasive
and drug-tolerant state in melanoma (Extended Data Fig. 15)."
taurine,Q1.1,Temporal changes in leukaemia niche,"To define temporal changes in non-immune bone marrow micro-
environment populations during myeloid leukaemia progression",which can grow in unirradiated mouse recipients,"we used bcCML LSCs...(Extended Data Fig. 1a,b). Bone marrow stromal populations
(leukaemia−CD45−TER119−) were isolated from leukaemic cohorts at
distinct stages of disease progression and analysed using scRNA-seq
(Fig. 1a). "
taurine,Q2.4,Temporal changes in leukaemia niche,"Gene-expression-based clustering identified 21 lineage clusters with transitional subsets covering endothelial cells, chondrocytes, fibroblasts, pericytes, mesenchymal stromal cells (MSCs) and osteo-associated populations (Fig. 1b and Extended Data Fig.1c,d) and showed significant remodelling with disease progression (Fig. 1c,d). 
Our flow-cytometry-based analyses of an independent cohort of leukaemic mice validated these changes, showing increases in MSCs, osteolineage and arteriolar endothelial cells, with a concomitant decline in sinusoidal endothelial populations (Fig. 1e,f and Extended Data Fig.1e). Clustering analyses of genes expressed in major lineages identified gene sets with similar changes in expression (Extended Data Fig. 1f),",,suggesting that these may represent altered stromal cell fate
taurine,Q2.4,Temporal changes in leukaemia niche,"Pathway analysis showed that osteoblast differentiation and bone mineralization were downregulated in MSCs and osteo-associated cells, and focal adhesion and cell migration were downregulated in endothelial populations (Fig. 1g and Extended Data Fig. 2a).",,indicating that MSC and endothelial function may be impaired with disease progression
taurine,Q1.1,Ligand–receptor interactome,"To define the functional relevance of microenvironmental changes on leukaemogenesis, ",,"we focused on proteins expressed on LSC cell surface that act as receptors for niche-driven signals. To identify LSC receptors associated with disease progression, we performed RNA-seq analysis of human AML and bcCML CD34+ cells, and healthy donor bone marrow CD34+ haematopoietic stem and progenitor cells (HSPCs; Extended Data Fig.2b)."
taurine,Q1.1,Ligand–receptor interactome,"To identify signals that are functionally relevant for disease progression, ",cell surface genes19 ... genome-wide invivo leukaemia CRISPR screen6,we found cell surface genes19 that drop out by twofold or more in our genome-wide invivo leukaemia CRISPR screen6.
taurine,Q1.1,Ligand–receptor interactome,"This identified 13 cell surface signals common to both bcCML and AML, 18 unique to AML and 7 unique to bcCML. Of these 38 genes, 16 were misannotated as cell surface in the reference dataset19 and were removed from further analysis (Methods and Extended Data Fig. 2c,d). ... to identify ligands for these receptors, ",especially those that were significantly upregulated in our TME scRNA-seq data and in the human AML immune microenvironment20,We used NicheNet and the published literature ... (Extended Data Fig. 2e).
taurine,Q1.1,Ligand–receptor interactome,"We next determined whether disease progression could alter the expression of LSC-specific TME ligands,",,Bone marrow stromal populations (leukaemia−CD45−TER119−) were isolated from leukaemic cohorts at distinct stages of disease progression and analysed using scRNA-seq (Fig. 1a).
taurine,Q2.4,TME signals support leukaemogenesis,We therefore generated a unique map of TME ligands for 15 LSC receptors that are essential for disease progression (Fig. 2a).,,Multiple TME–LSC signalling axes identified in our interactome may have a functional role in leukaemia progression.
taurine,Q2.4,TME signals support leukaemogenesis,"Of the 22 genes upregulated in human LSCs, only low-density lipoprotein receptor (LDLR) and SLC6A6 were significantly associated with poor prognosis in AML (Fig. 2a–c and Extended Data Fig. 4a,b).",,We therefore tested the functional requirement of  TME-derived ligands of LDLR and SLC6A6 on LSC growth.
taurine,Q2.4,TME signals support leukaemogenesis,"One of the primary LDLR ligands, apolipoprotein E (APOE)21, was highly expressed in MSCs (Extended Data Fig.3d). ",,"To test the role of APOE from MSCs on LSC function,"
taurine,Q1.2,TME signals support leukaemogenesis,"To test the role of APOE from MSCs on LSC function,",,we co-cultured bcCML LSCs with MSCs transduced with short hairpin RNAs (shRNAs) targeting Apoe or LacZ (control; Extended Data Fig. 4c).
taurine,Q2.4,TME signals support leukaemogenesis,"Our experiments indicate that Slc6a6 expression can be directly induced by oncogenes (Extended Data Fig. 4g). ... While the leukaemia TME did not express enzymes required for β-alanine synthesis (Gadl1 and Cndp1), those needed for taurine biosynthesis were expressed in osteo-associated cells (Cdo1 and Csad; Extended Data Fig.4h,i).","SLC6A6 encodes TAUT, which has high affinity for the non-essential amino acid taurine, and low affinity for β-alanine (taurine Km = 4.5 μM versus β-alanine Km = 56 μM)22.","To test whether CDO1 is expressed in the human leukaemia TME,"
taurine,Q1.1,TME signals support leukaemogenesis,"To test whether CDO1 is expressed in the human leukaemia TME, ",,we performed an scRNA-seq analysis of CD45− stromal cells from three myelodysplastic syndrome (MDS) and AML bone marrow aspirates.
taurine,Q2.4,TME signals support leukaemogenesis,"While CDO1 protein was expressed in undifferentiated human AML MSCs, its expression increased during invitro mouse and human AML MSC osteogenic differentiation (Extended Data Fig.5a–c).",,"Thus, CDO1 may be broadly expressed in immature MSCs as well as differentiating osteolineage cells in human bone marrow."
taurine,Q1.1,TME signals support leukaemogenesis,"To determine a functional role of taurine from osteolineage cells, ",,we tested the impact of inhibiting taurine biosynthesis in mouse and human leukaemia bone-marrow-derived MSCs on co-cultured leukaemia cells.
taurine,Q2.3,TME signals support leukaemogenesis,"Our experiments showed that mouse LSCs co-cultured with osteolineage cells lacking Cdo1 expression were significantly less viable (about 2-fold lower than the controls) and formed fewer colonies (3.4-fold less than controls), which could be rescued by supplementing cultures with taurine (Extended Data Fig. 5e–g). Similarly, inhibiting CDO1 in osteolineage cultures from MSCs derived from patients with AML impaired survival and colony-formation of co-cultured AML cells from the same patient by 2- to 3.2-fold (Fig. 2h,i and Extended Data Fig. 5h), ",,indicating that taurine produced by osteolineage cells promotes LSC growth and survival.
taurine,Q2.3,TME signals support leukaemogenesis,"Consistent with a functional role of taurine from the TME in leukaemia progression, taurine levels were 1.7-fold higher in leukaemic bone marrow interstitial fluid as compared to the controls (Fig. 2j).","In mice, the majority of taurine is synthesized in the liver from cysteine24.","To determine whether taurine produced locally in the bone marrow niche is essential for leukaemia growth, "
taurine,Q1.1,TME signals support leukaemogenesis,"To determine whether taurine produced locally in the bone marrow niche is essential for leukaemia growth, ",,"we generated a new Cdo1fl/fl mouse model and crossed it to MSC/osteolineage-specific Prrx1-cre mice (Extended Data Fig.5i–k). We used these as recipients for LSCs and monitored survival, and the impact on bone marrow microenvironment populations. "
taurine,Q2.3,TME signals support leukaemogenesis,Our experiments showed that Cdo1fl/flPrrx1-cre+ mice lived around 13.5% longer than the controls ... (Fig. 2k).,,"indicating that taurine produced locally in the leukaemia TME can support disease progression, at least in part "
taurine,Q2.3,TME signals support leukaemogenesis,"We did not find any significant changes in the composition of TME in Cdo1fl/flPrrx1-cre+ leukaemic mice as compared to the controls (Extended Data Fig.5l–n), ",,suggesting that leukaemia-driven remodelling of the bone marrow niche does not depend on taurine produced by osteolineage cells.
taurine,Q2.3,TME signals support leukaemogenesis,"Our experiments showed that the colony-forming ability of mouse LSCs and patient-derived AML cells increased by 1.2- to 3.3-fold in the presence of taurine (Extended Data Fig. 5o–q). Taurine supplements could significantly accelerate disease progression in immunocompetent mice (around threefold higher likelihood of death relative to the controls; Extended Data Fig. 5r),",,indicating that taurine can promote leukaemic progression.
taurine,Q2.3,TME signals support leukaemogenesis,"Co-culture with MSCs lacking Apoe expression led to significant reduction in both the viability and colony-forming ability of LSCs (around 2.1-fold lower than the controls; Extended Data Fig.4d–f). 
taurine produced by osteolineage cells promotes LSC growth and survival. 
...
taurine produced locally in the leukaemia TME can support disease progression, at least in part (Fig. 2k). 
...
taurine can promote leukaemic progression. ",,"Collectively, these data indicate a key role of taurine and APOE from the bone marrow niche in sustaining LSCs."
taurine,Q2.4,TME signals support leukaemogenesis,"As SLC6A6 expression was significantly enriched in both human bcCML and AML LSCs as compared to the controls, ",,"we focused our studies on SLC6A6, it may be broadly required for growth of aggressive leukaemias. "
taurine,Q1.1,TAUT loss impairs leukaemogenesis,To determine whether TAUT has a functional role in leukaemia progression,"While Slc6a6-knockout mice are born at Mendelian ratios, they can develop ageing-related defects in bone mass and retinal degeneration25–27.","we used global Slc6a6-knockout mice25 (Fig. 3a,b)."
taurine,Q2.3,TAUT loss impairs leukaemogenesis,"Our experiments showed that TAUT loss in LSCs significantly reduced their ability to grow when co-cultured with osteolineage cells expressing either control shRNA or shRNA against Cdo1 (shCdo1; Extended Data Fig. 6a), ",,indicating that they could not respond to taurine being  produced by the niche.
taurine,Q2.3,TAUT loss impairs leukaemogenesis,"TAUT loss impaired initiation of bcCML in mouse models (3.9-fold higher likelihood of survival; Fig. 3c,d), which could not be rescued with taurine supplements (Extended Data Fig.6b). TAUT loss also led to functional depletion in bcCML LSCs, as indicated by a 2.3-fold reduction in their colony-forming ability (Fig. 3e), as well as a marked increase in the survival of mice transplanted with Slc6a6−/− LSCs (40%) relative to control LSCs (0%) in secondary transplant assays (21.2-fold higher likelihood of survival; Fig. 3f). The 8.5-fold reduction in colony-forming ability of bcCML LSCs from secondary transplants ... (Fig. 3g,h). ",,suggests that these leukaemias remain dependent on TAUT expression and taurine uptake for their continued propagation
taurine,Q2.4,TAUT loss impairs leukaemogenesis,We noted no significant differences in bone marrow microenvironmental populations of mice bearing Slc6a6−/− leukaemias as compared to the controls ... (Extended Data Fig. 6c–g).,,"indicating that leukaemia-driven niche remodelling possibly reflects the extent of the tumour burden, and may be independent of taurine levels within leukaemia cells "
taurine,Q1.1,TAUT loss impairs leukaemogenesis,"To determine whether TAUT is broadly required for de novo AML growth, ",,we tested the impact of its loss on initiation of leukaemia driven by MLL-AF9/NRAS(G12V) and by AML-ETO9a/NRAS(G12V).
taurine,Q2.3,TAUT loss impairs leukaemogenesis,"Slc6a6−/− KIT+ AML LSCs from established disease formed 2.9-fold fewer colonies compared with the controls (Fig. 3l), ",,indicating that TAUT loss depleted functional LSCs.
taurine,Q2.3,TAUT loss impairs leukaemogenesis,"Our experiments showed that TAUT loss markedly delays the initiation of MLL-driven AML relative to the control (6.1-fold higher likelihood of survival; Fig. 3i–k). Slc6a6−/− KIT+ AML LSCs from established disease formed 2.9-fold fewer colonies compared with the controls (Fig. 3l), ... Consistent with a key role of TAUT expression in myeloid leukaemia initiation, TAUT loss in disease driven by AML-ETO9a resulted in a marked increase in survival (70%) relative to the controls (0%) (36.3-fold higher likelihood of survival; Fig. 3m,n). At the cellular level, TAUT loss led to a 2.4- to 3.6-fold reduction in primitive Lin−CD150−FLT3+SCA1+ LSCs6 (Fig. 3o). Furthermore, TAUT loss increased necrosis and theLin+ differentiated cells (Fig. 3p and Extended Data Fig. 6h) and promoted cell proliferation (Fig. 3q). ",,"These data demonstrate a critical requirement for TAUT in the initiation, self-renewal and propagation of myeloid leukaemia. "
taurine,Q1.1,TAUT loss impairs leukaemogenesis,We next tested the impact of TAUT loss on normal haematopoiesis.,global Slc6a6-knockout mice25,"we used global Slc6a6-knockout mice25 (Fig. 3a,b)."
taurine,Q2.4,TAUT loss impairs leukaemogenesis,"Our analysis indicates that TAUT loss does not severely impact bone marrow cellularity, or the total numbers of HSCs, progenitors and differentiated cells at steady-state (Extended Data Fig. 7a–e). While TAUT loss did not impair initial HSC engraftment (1 month after transplant), donor chimerism dropped over time (Extended Data Fig.7f,g). Although overall bone marrow chimerism 4 months after transplant was 2.4-fold lower in Slc6a6−/− HSC recipients as compared to Slc6a6+/+ HSC recipients, these Slc6a6−/− HSCs were able to contribute to all haematopoietic lineages (Extended Data Fig.7h–k). Serial transplantation of Slc6a6+/+ and Slc6a6−/− bone marrow cells showed a similar loss in Slc6a6−/− engraftment over time (Extended Data Fig.7l–q). ",,"These results suggest that, while TAUT loss does not impair steady-state haematopoiesis, it can impact long-term HSC self-renewal and maintenance."
taurine,Q2.4,TAUT loss impairs leukaemogenesis,"These results suggest that, while TAUT loss does not impair steady-state haematopoiesis, it can impact long-term HSC self-renewal and maintenance.","These data are consistent with previous studies showing that genetic loss of LSC-enriched genes such as CD981, STAU26, MSI228,29, BRD430 and BCL231 can impair HSC self-renewal. However, therapeutic inhibition of CD98 showed minimal toxicity in AML phase I trials1 and BCL2 inhibitors are approved for AML therapy. ",It is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for TAUT targeting in human cells.
taurine,Q3.1,TAUT loss impairs leukaemogenesis,It is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for TAUT targeting in human cells.,,We therefore tested the impact of TAUT inhibition on growth and proliferation of normal human HSPCs as well as patient-derived AML cells.
taurine,Q2.4,TAUT is essential for human AML growth,"Our analyses of available gene expression datasets indicate that SLC6A6 expression is enriched in leukaemia stem/progenitors as compared to more mature blasts (Extended Data Fig. 8a). While SLC6A6 is broadly expressed in AML irrespective of karyotype or FAB subtype (TCGA; Extended Data Fig.8b), increased expression correlates with venetoclax resistance (BEAT-AML; Fig. 4a). SLC6A6 expression is also enriched in reactive oxygen species (ROS)-low LSCs from human monocytic AMLs (subtype clinically associated with venetoclax resistance; CD45bright SSChighCD117−CD11b+CD68+) compared with primitive AML (Fig. 4b; CD45medSSClowCD117+CD11b−CD68−)32. We find increased SLC6A6 expression in leukaemia cells carrying RAS mutations as compared to wild-type cells, ... (Fig. 4c). SLC6A6 is also highly expressed in relapsed AML originating from stem/progenitor like cells compared with more committed populations34 (Extended Data Fig. 8c). ",...consistent with data correlating RAS mutations with venetoclax resistance33,"These data collectively indicate that inhibiting SLC6A6 may be of value across AML subtypes, including those commonly associated with venetoclax resistance."
taurine,Q1.1,TAUT is essential for human AML growth,"To determine whether small-molecule inhibitors of TAUT can effectively block leukaemia growth,","6-aminomethyl3-methyl-4H-1,2,4-benzothiadiazine-1,1-dioxide hydrochloride35 (TAG) and guanidinoethyl sulphonate36 (GES; ","we used two well-characterized structural analogues of taurine that inhibit uptake: 6-aminomethyl3-methyl-4H-1,2,4-benzothiadiazine-1,1-dioxide hydrochloride35 (TAG) and guanidinoethyl sulphonate36 (GES; Extended Data Fig.8d,e)."
taurine,Q2.3,TAUT is essential for human AML growth,"TAG and GES treatment led to a substantial reduction in colonies formed by Slc6a6+/+ mouse LSCs but not Slc6a6−/− cells (Extended Data Fig.8f–h). Importantly, while TAG and GES impaired growth of primary human AML cells in colony assays by 1.8- to 20-fold, they did not impact normal human CD34+ HSPC colony growth (Fig. 4d,e). ... Our experiments showed that venetoclax reduced the viability of mouse Slc6a6−/− LSCs by 3.2-fold and lowered their colony formation by 13.2-fold as compared to the controls (Extended Data Fig.8i,j). While TAG, GES or venetoclax alone could impair mouse LSC colony formation by 1.4- to 3.9-fold, their combination was synergistic and led to 2.3- to 7.2-fold fewer colonies as compared to the controls (Extended Data Fig.8k–m). While primary human AML cells that were treated with GES, TAG or venetoclax alone formed 1.3- to 8.3-fold fewer colonies as compared to the controls, combining the treatments substantially impaired colony formation by 2.4- to 150-fold. ",,These data indicate that taurine inhibitors can synergize with venetoclax in blocking the growth of human AML cells (Fig. 4f–h).
taurine,Q1.1,TAUT is essential for human AML growth,We next tested whether venetoclax can exacerbate the impact of TAUT loss and/or inhibition on LSC function.,,We next tested whether venetoclax can exacerbate the impact of TAUT loss and/or inhibition on LSC function.
taurine,Q2.3,TAUT is essential for human AML growth,"As TAG and GES did not effectively block taurine uptake in vivo (Extended Data Fig.9a–j),",,we used shRNA-based approaches to determine the impact of inhibiting TAUT expression on human AML growth.
taurine,Q1.1,TAUT is essential for human AML growth,to determine the impact of inhibiting TAUT expression on human AML growth.,,we used shRNA-based approaches
taurine,Q2.4,TAUT is essential for human AML growth,"These data indicate that taurine inhibitors can synergize with venetoclax in blocking the growth of human AML cells (Fig. 4f–h). ... Knocking down SLC6A6 expression using two independent shRNAs significantly impaired taurine uptake by 2.2 to 3.4-fold, as well as the colony-forming ability of human bcCML, AML and MDS cell lines by 2- to 12-fold (Extended Data Fig. 9k–p). Our experiments showed that SLC6A6 knockdown in samples from patients with AML reduced their colony-forming ability by 2.33- to 9.12-fold as compared to the controls (Fig. 4i). By contrast, SLC6A6 knockdown did not impact colonies formed by normal human CD34+ HSPCs (Fig. 4j). Importantly, while SLC6A6 knockdown reduced the engraftment of primary AML cells by 1.2- to 40-fold in patient-derived xenograft models (Fig. 4k,l), it did not significantly impair engraftment of normal human CD34+ HSPCs in xenograft models (Fig. 4m). ",,"Collectively, our data identify a critical requirement for SLC6A6 expression in primary human AML growth and indicate that blocking taurine transport may be of value in aggressive myeloid leukaemias."
taurine,Q1.1,Taurine drives glycolysis in leukaemia,"To establish the mechanisms by which taurine uptake in leukaemia cells promotes disease progression, ",,we determined metabolic changes in the absence of taurine.
taurine,Q2.4,Taurine drives glycolysis in leukaemia,"Our untargeted metabolomic analysis of mouse LSCs identified significant downregulation of glycolysis/TCA related pathways and metabolites such as pyruvate, glyceraldehyde-3-phosphate and 3-phosphoglycerate in Slc6a6−/− cells, ... (Fig. 5a–c and Extended Data Fig. 10a). ",,suggesting that taurine may regulate energy metabolism
taurine,Q2.4,Taurine drives glycolysis in leukaemia,"Consistent with this, we noted a 1.3- to 1.8-fold reduction in basal glycolysis, glycolytic capacity, maximal oxygen consumption and spare respiratory capacity in Slc6a6−/− LSCs as compared to the controls (Fig. 5d,e and Extended Data Fig.10b).",,"To functionally test the role of glycolysis and TCA associated metabolites, "
taurine,Q1.1,Taurine drives glycolysis in leukaemia,"To functionally test the role of glycolysis and TCA associated metabolites, ",,we determined whether bypassing these could rescue Slc6a6−/− defects.
taurine,Q2.4,Taurine drives glycolysis in leukaemia,"Our experiments showed that the colony-forming ability of Slc6a6−/− LSCs could be significantly rescued by pyruvate, sodium acetate and lactate, but not glucagon (Fig. 5f and Extended Data Fig.10c–e). ",,"These data suggest that glycolysis, and not gluconeogenesis, is the primary downstream effector of taurine in leukaemia cells."
taurine,Q1.1,Taurine drives glycolysis in leukaemia,We next tested whether taurine contributed to any cellular metabolite,,by determining 13C-taurine incorporation in K562 leukaemia cells.
taurine,Q2.4,Taurine drives glycolysis in leukaemia,"Our untargeted metabolomic approach identified 13C label only in known taurine conjugates, N-acetyl taurine and glutaurine (Extended Data Fig.10f,g). Membrane-permeable taurine fully rescued colonies formed by Slc6a6−/− cells (Fig. 5g), and N-acetyl-taurine partly rescued this defect (Extended Data Fig.10h), ...  By contrast, glutaurine was unable to rescue the Slc6a6−/− colony formation (Extended Data Fig.10i). ",perhaps by breakdown to taurine and acetate37.,"These experiments indicate that taurine, and not a secondary metabolite, promotes leukaemia growth due to an indirect effect on glycolysis, possibly through downstream signalling."
taurine,Q1.1,Taurine drives glycolysis in leukaemia,"To identify signals downstream of taurine, ",,we performed RNA-seq as well as phosphoproteome and total-proteome analyses of primary  mouse leukaemia cells (Fig. 5h).
